Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
6321,LEGO Harry Potter: Years 5-7,PSP,2011.0,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0.0,0.06,0.27,True
6403,Rock Revolution,PS3,2008.0,Misc,Unknown,0.25,0.0,0.0,0.02,0.27,True
6498,Jonah Lomu Rugby Challenge,PS3,2011.0,Sports,Home Entertainment Suppliers,0.0,0.2,0.0,0.06,0.26,True
6649,College Hoops 2K6,PS2,2005.0,Sports,Unknown,0.12,0.1,0.0,0.03,0.25,True
6779,Mega Man X Collection,PS2,2006.0,Misc,Unknown,0.12,0.09,0.0,0.03,0.24,True
6808,BioShock 2,PC,2010.0,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,True
6834,Singularity,PS3,2010.0,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24,True
6921,Danganronpa: Trigger Happy Havoc,PSP,2014.0,Misc,Unknown,0.0,0.0,0.24,0.0,0.24,True
6928,DanceDanceRevolution II,Wii,2011.0,Misc,Konami Digital Entertainment,0.22,0.0,0.0,0.02,0.24,True
6939,Tony Hawk's Downhill Jam,Wii,2006.0,Sports,Activision,0.21,0.0,0.0,0.02,0.24,True
6968,Big Beach Sports 2,Wii,2010.0,Sports,THQ,0.09,0.12,0.0,0.03,0.23,True
6970,Jet X20,PS2,,Racing,Unknown,0.11,0.09,0.0,0.03,0.23,False
7037,Tribes: Aerial Assault,PS2,2002.0,Shooter,Unknown,0.11,0.09,0.0,0.03,0.23,True
7183,Move Fitness,PS3,2013.0,Sports,Sony Computer Entertainment,0.0,0.17,0.0,0.05,0.22,True
7215,LEGO Harry Potter: Years 5-7,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,True
7353,Yu Yu Hakusho: Dark Tournament,PS2,2004.0,Fighting,,0.1,0.08,0.0,0.03,0.21,True
